Total fitness,Total levels ended,Avg.levels ended,Total cells passed,Avg. cells passed,Total time spent,Avg. time spent,Total time left,Avg. time left,Total kills,Avg. kills,Total items collected,Avg. itmes collected,Total kills by fire,Avg. kills by fire,Total kills by shell,Avg. kills by shell,Total kills by stomp,Avg. kills by stomp
55789.043,0.0,0.0,2174.0,120.77778,1086.0,60.333332,705.0,39.166668,40.0,2.2222223,1.0,0.055555556,30.0,1.6666666,0.0,0.0,10.0,0.5555556
62476.96,0.0,0.0,2291.0,127.27778,1095.0,60.833332,695.0,38.61111,40.0,2.2222223,6.0,0.33333334,31.0,1.7222222,2.0,0.11111111,6.0,0.33333334
53698.355,2.0,0.11111111,2063.0,114.611115,1112.0,61.77778,678.0,37.666668,23.0,1.2777778,1.0,0.055555556,11.0,0.6111111,0.0,0.0,12.0,0.6666667
43645.99,2.0,0.11111111,1536.0,85.333336,1070.0,59.444443,723.0,40.166668,21.0,1.1666666,2.0,0.11111111,19.0,1.0555556,0.0,0.0,2.0,0.11111111
43809.598,2.0,0.11111111,1532.0,85.111115,847.0,47.055557,944.0,52.444443,27.0,1.5,2.0,0.11111111,24.0,1.3333334,0.0,0.0,3.0,0.16666667
51575.688,1.0,0.055555556,1859.0,103.27778,938.0,52.11111,848.0,47.11111,43.0,2.3888888,2.0,0.11111111,35.0,1.9444444,2.0,0.11111111,6.0,0.33333334
49835.734,1.0,0.055555556,1845.0,102.5,952.0,52.88889,836.0,46.444443,31.0,1.7222222,3.0,0.16666667,21.0,1.1666666,2.0,0.11111111,8.0,0.44444445
56527.68,2.0,0.11111111,2011.0,111.72222,1026.0,57.0,764.0,42.444443,39.0,2.1666667,10.0,0.5555556,29.0,1.6111112,0.0,0.0,10.0,0.5555556
57429.37,1.0,0.055555556,2179.0,121.05556,1050.0,58.333332,740.0,41.11111,29.0,1.6111112,1.0,0.055555556,24.0,1.3333334,1.0,0.055555556,4.0,0.22222222
53325.25,0.0,0.0,2052.0,114.0,1120.0,62.22222,669.0,37.166668,41.0,2.2777777,9.0,0.5,29.0,1.6111112,1.0,0.055555556,11.0,0.6111111
51842.457,3.0,0.16666667,1827.0,101.5,954.0,53.0,835.0,46.38889,41.0,2.2777777,0.0,0.0,35.0,1.9444444,0.0,0.0,6.0,0.33333334
58877.18,2.0,0.11111111,2223.0,123.5,1179.0,65.5,612.0,34.0,50.0,2.7777777,3.0,0.16666667,38.0,2.1111112,1.0,0.055555556,10.0,0.5555556
44276.297,2.0,0.11111111,1631.0,90.611115,1166.0,64.77778,627.0,34.833332,30.0,1.6666666,1.0,0.055555556,22.0,1.2222222,0.0,0.0,8.0,0.44444445
51134.28,1.0,0.055555556,1858.0,103.22222,825.0,45.833332,963.0,53.5,36.0,2.0,3.0,0.16666667,24.0,1.3333334,0.0,0.0,12.0,0.6666667
62222.574,2.0,0.11111111,2377.0,132.05556,1075.0,59.72222,714.0,39.666668,33.0,1.8333334,5.0,0.2777778,25.0,1.3888888,2.0,0.11111111,5.0,0.2777778
56483.145,1.0,0.055555556,1951.0,108.388885,1136.0,63.11111,654.0,36.333332,55.0,3.0555556,7.0,0.3888889,34.0,1.8888888,6.0,0.33333334,15.0,0.8333333
50409.957,2.0,0.11111111,1845.0,102.5,999.0,55.5,790.0,43.88889,41.0,2.2777777,6.0,0.33333334,32.0,1.7777778,0.0,0.0,9.0,0.5
45302.535,3.0,0.16666667,1555.0,86.388885,1135.0,63.055557,656.0,36.444443,27.0,1.5,0.0,0.0,18.0,1.0,1.0,0.055555556,8.0,0.44444445
38561.926,0.0,0.0,1316.0,73.111115,767.0,42.61111,1022.0,56.77778,24.0,1.3333334,3.0,0.16666667,13.0,0.7222222,1.0,0.055555556,10.0,0.5555556
53855.504,1.0,0.055555556,1928.0,107.111115,921.0,51.166668,867.0,48.166668,42.0,2.3333333,4.0,0.22222222,30.0,1.6666666,1.0,0.055555556,11.0,0.6111111
